event_id,claim,label,check_worthiness
101550,Robert F. Kennedy Jr. said that “Trump could be the greatest president in history.”,1,0.0
103326,An assortment of rumors associated with Hurricane Irma in September 2017.,1,0.0
122539,"Oprah Winfrey said that in order for the problem of racism to be solved, old white people have to die.",1,0.0
142506,A meme presents accurately describes Japan's healthcare and health insurance system.,1,0.0
187578,"A photograph shows a pair of ""negro skin shoes.""",1,0.0
204069,A video shows a talented young child playing table tennis. ,1,0.0
209552,"An image shows a sign for the ""Cum Park Plaza"" shopping center. ",1,0.0
216008,"A viral social media post about the outcome of impeaching U. S. President Donald Trump was accurate and was written by ""Hyram F. Suddfluffel.""",1,0.0
219322,An animated GIF shows a snail watching a race car drift around a bend in a road. ,1,0.0
226228,Praying mantis eggs are commonly found on Christmas trees. ,1,0.0
227597,The U.S. listed the fictional country of Wakanda as a trading partner.,1,0.0
231798,Subaru released a new car model with the acronym F.U.C.K.S. ,1,0.0
240296,A map from Johns Hopkins University that shows the spread of COVID-19 contains malware. ,1,0.0
241982,"The COVID-19 coronavirus disease is ""spreading quickly from gas pumps.""",1,0.0
246515,"Bats are pictured on the reverse of a U.S. quarter issued in 2020, an indicator that COVID-19 is connected to a government plot.",1,0.0
249497,An illustration from a 1962 Italian magazine shows an imagined scene from the year 2022.,1,0.0
253139,The New York Times published an op-ed by Adolf Hitler in 1941. ,1,0.0
265909,"Kamala Harris called voters aged 18-24 years old ""stupid.""",1,0.0
139035,"Albert Einstein said ""World War IV would be fought with sticks and stones.""",1,0.0
197932,"U.S. President Donald Trump said he liked ""the sun better than the artificial non-sun"" during a rally.",1,0.0
201265,"Young people are growing ""horns"" in the base of their skulls from looking down at cellphone screens.",1,0.0
120599,"Elephants think of humans as ""cute,"" in the same manner that humans think of kittens or puppies.",1,0.0
